original,Gaussian_blur_2.0,Gaussian_blur_4.0,Entropy_2_64,Entropy_2_128,Entropy_2_256,class
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000004,0,0,0,'class 2'
0,0,0.000045,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000004,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000001,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000003,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0,0,0,0,'class 2'
0,0,0.000001,0,0,0,'class 2'
0,0,0.000012,0,0,0,'class 2'
